date,ticker,open,high,low,close,volume,adj_close
2024-11-01,AAPL,220.97000122070312,225.35000610351562,220.27000427246094,222.91000366210938,65276700,221.4552764892578
2024-11-01,AMZN,199.0,200.5,197.02000427246094,197.92999267578125,99687800,197.92999267578125
2024-11-01,GOOGL,170.07000732421875,172.32000732421875,168.8800048828125,171.2899932861328,31796500,170.42642211914062
2024-11-01,META,567.6099853515625,573.6699829101562,562.5599975585938,567.1599731445312,15303200,564.92138671875
2024-11-01,MSFT,409.010009765625,415.5,407.5,410.3699951171875,24230400,406.5511474609375
2024-11-04,AAPL,220.99000549316406,222.7899932861328,219.7100067138672,222.00999450683594,44944500,220.56114196777344
2024-11-04,AMZN,196.4499969482422,197.3300018310547,194.30999755859375,195.77999877929688,38492100,195.77999877929688
2024-11-04,GOOGL,169.92999267578125,170.72999572753906,168.00999450683594,169.24000549316406,21492700,168.38677978515625
2024-11-04,META,564.0999755859375,568.6900024414062,557.8900146484375,560.6799926757812,12064600,558.4671020507812
2024-11-04,MSFT,409.79998779296875,410.4200134277344,405.57000732421875,408.4599914550781,19672300,404.658935546875
2024-11-05,AAPL,221.8000030517578,223.9499969482422,221.13999938964844,223.4499969482422,28111300,221.99176025390625
2024-11-05,AMZN,196.0399932861328,199.82000732421875,195.99000549316406,199.5,30564800,199.5
2024-11-05,GOOGL,169.42999267578125,170.52999877929688,168.83999633789062,169.74000549316406,18242100,168.88426208496094
2024-11-05,META,567.2999877929688,573.47998046875,566.6699829101562,572.4299926757812,9775400,570.170654296875
2024-11-05,MSFT,408.3699951171875,414.8999938964844,408.0799865722656,411.4599914550781,17626000,407.63104248046875
2024-11-06,AAPL,222.61000061035156,226.07000732421875,221.19000244140625,222.72000122070312,54561100,221.26649475097656
2024-11-06,AMZN,200.00999450683594,207.5500030517578,199.13999938964844,207.08999633789062,72292200,207.08999633789062
2024-11-06,GOOGL,173.8000030517578,176.94000244140625,173.5,176.50999450683594,33695500,175.62013244628906
2024-11-06,META,562.75,573.0,555.1699829101562,572.0499877929688,18305400,569.7921142578125
2024-11-06,MSFT,412.4200134277344,420.45001220703125,410.5199890136719,420.17999267578125,26681800,416.2698669433594
2024-11-07,AAPL,224.6300048828125,227.8800048828125,224.57000732421875,227.47999572753906,42137700,225.99546813964844
